node_id,region,locality,institution_or_network,institution_type,date_anchor,microscopy_relation,slide_preparation_relation,evidence_tier,disposition,primary_next_target,source_url
UKWMC001,Yorkshire,Sheffield,People's College Sheffield,people's college,1842-1878,"Science and natural history teaching for young working men and women","No slide or microscopy relation closed in first pass",C,OPEN,"People's College class records; connect to Sheffield microscopical societies and Sorby network",https://archives.shef.ac.uk/agents/corporate_entities/212
UKWMC002,North East England,South Shields,Working Men's Club and Institution,working men's club and institute,1850; microscopical society 1861,"South Shields Microscopical Society established as offshoot of Institution","Slide collection not yet located",B,HIGH_PRIORITY,"Society minutes; local newspapers; museum/library transfer and accession records",https://www.natsca.org/sites/default/files/publications-full/Biology%20Curators%20Group%20Newsletter%20Vol%202%20No%205.pdf
UKWMC003,London,London,Working Men's College Great Ormond Street,working men's college,1854 onward,"M C Cooke teaching; later Lubbock Field Club microscopic observations and specimen exhibitions","Material line continues through former pupils and successor societies; institutional WMC slides not yet isolated",B,HIGH_PRIORITY,"WMC science class records; museum records; Cooke pupil names; Lubbock Field Club records",https://doi.org/10.1080/00033790.2023.2181398
UKWMC004,London,London,Society of Amateur Botanists,successor amateur society,1862-1866,"Formed by Cooke and former WMC pupils; model for Quekett","Specimen interchange explicit; mounted-slide relation requires extraction",B,HIGH_PRIORITY,"Membership; excursions; specimen exchange; Hardwicke records; member slide survival",https://doi.org/10.1080/00033790.2023.2181398
UKWMC005,London,London,Quekett Microscopical Club,amateur microscopical society,1865 onward,"Successor community linked to WMC/Cooke network","General slide collection >2000 preparations by 1873; borrowing and exchange; mounted objects and preparation instruction",A,HIGH_PRIORITY,"Early accession/donation/exchange ledgers; contributor occupations; WMC crosswalk",https://academic.oup.com/jhc/article/37/3/507/8653474
UKWMC006,London,South London,South London Working Men's College,working men's college,1868 onward,"Adult college with science-oriented intellectual context","No slide relation surfaced in first pass",C,OPEN,"Prospectuses; laboratory/apparatus accounts; Rossiter papers; natural-history classes",https://www.nature.com/articles/002475a0
UKWMC007,North West England,Manchester,Manchester Working Man's College,working men's college,1858-1861,"Curriculum included chemistry and physiology; housed in Manchester Mechanics' Institution","No slide relation surfaced in first pass",C,OPEN,"Prospectuses and annual reports; chemistry/physiology class equipment; Owens transfer records",https://en.wikisource.org/wiki/Dictionary_of_National_Biography%2C_1885-1900/Scott%2C_Alexander_John_%281805-1866%29
UKWMC008,North West England,Manchester,Manchester Mechanics' Institution -> Manchester Microscopical Society,mechanics' institution / microscopical society,1879,"Low-fee microscopical society founded at meeting in Mechanics' Institution; mechanics and young men of small means emphasized","Slide collection or exchange not yet isolated",B,HIGH_PRIORITY,"1879 founding records; early meeting object lists; member occupations and mounters",https://microscopist.net/BrittainT.html
UKWMC009,London,London,Birkbeck Institution,mechanics-institute lineage / adult higher education,1884 onward practical microscopy,"Martin J Cole appointed lecturer/instructor in Practical Microscopy","Cole family produced slides; Arthur's series distributed 52 slides in vol 1; Martin supplied teaching slides",A,HIGH_PRIORITY,"Birkbeck biological laboratory records; class lists; surviving Cole/Birkbeck teaching slides",https://www.microscopist.net/Cole_AC_MJ.html
UKWMC010,North East England,Newcastle upon Tyne,Newcastle-upon-Tyne Mechanics' Institution,mechanics' institution,1867,"Conversazione and Microscopical Soiree","Thomas Craggs exhibited named injected preparations by A B Stirling",A,HIGH_PRIORITY,"Full 1867 exhibit list; later soirees; identify current survival of Stirling preparations",https://microscopist.net/Craggs.html
UKWMC011,North West England,Stalybridge,Ridge Hill Lane Working Men's Institute,working men's institute,1861 onward,"Institution possessed microscope for use of members","No slides/cabinet yet identified",B,HIGH_PRIORITY,"Institute minutes; museum and library inventories; local press demonstrations",https://www.scribd.com/document/232494296/Bygone-Stalybridge
UKWMC012,West Midlands,Birmingham,Birmingham and Midland Institute,adult scientific institute,1859 onward scientific societies,"Natural History and Microscopical Societies formed; penny science lectures reached artisans","Slide holdings not yet identified",B,HIGH_PRIORITY,"Microscopical society minutes; institute museum/lab catalogues; member crosswalk to local mounters",https://www.gutenberg.org/ebooks/49622
UKWMC013,West Midlands,Birmingham,J Parkes & Son commercial supply network,commercial microscope and slide dealer,1857 catalogue,"Inexpensive microscopes marketed to broad student/amateur users","Prepared slides and affordable sets; professional mounters including John Norman represented",A,CONTEXT,"Search purchasers/members in institute and microscopical-society records",https://microscopist.net/ParkesJ.html
UKWMC014,West Midlands,Birmingham,Southall Brothers & Barclay commercial supply network,commercial pharmaceutical/scientific supplier,c1890 onward,"Microscopes and scientific equipment retailed","Prepared botanical; bacteriological; zoological and histological slides retailed",A,CONTEXT,"Crosswalk customers with adult-science institutions and pharmacy classes",https://www.microscopist.net/SouthallBros.html
UKWMC015,Yorkshire,Bradford,Bradford Mechanics' Institute / Bradford Scientific Association / Bradford NHMS,mechanics' institution and allied societies,late 19c,"Microscopy among early demonstrations; BSA met in Mechanics' Institute; close relation to Natural History & Microscopical Society","West Yorkshire Archives reportedly holds geological/botanical glass slides; Industrial Museum holds lantern and microscope slides",B,HIGH_PRIORITY,"Establish slide ownership/provenance; separate lantern from microscope slides",https://bradfordunconsideredtrifles.wordpress.com/2015/02/22/who-was-james-monckman/
UKWMC016,Yorkshire,Huddersfield,Huddersfield Naturalists' Society / Mechanics' Institution ecology,working-class naturalist society and mechanics-institute interface,1860-1865,"Working-class naturalist society owned a powerful microscope; collections shown at Mechanics' Institution exhibitions","Slides not yet isolated; specimen exchange and microscope assets documented",B,HIGH_PRIORITY,"Minute books; museum inventories; microscope object lists; preparation vocabulary in exhibitions",https://undergroundhistories.wordpress.com/bretheren-in-the-temple-of-science-natural-history-across-the-class-divide-huddersfield-c1848-1865/
UKWMC017,North West England,Liverpool,Liverpool Mechanics' Institution,mechanics' institution,c1840,"J B Dancer used gas microscope in lecture; flea; wood sections and other microscopic objects projected","Standard glass slide use not demonstrated",B,OPEN,"Lecture notices and apparatus lists; Dancer/Abraham object and slide catalogues",https://microscopist.net/DancerJB.html
