id,year,section,authors,title,citation,type,language,tags,note,verification,links
src_fiocruz_csap_2026,2026,primary,"Instituto Oswaldo Cruz / Museu da Patologia","Coleção da Seção de Anatomia Patológica (CSAP)","Instituto Oswaldo Cruz / Museu da Patologia, Coleção da Seção de Anatomia Patológica (CSAP), current online collection record (2026).",institutional collection record,Portuguese,"Brazil; Rio de Janeiro; Fiocruz; CSAP; pathology; histological slides; museum; conservation; provenance","The original pathology-museum collection is explicitly slide-bearing: IOC reports more than 850 anatomical pieces and about 10,000 slides, documenting the history of pathology from 1903 into the 1970s. The dedicated history and conservation pages also record losses, surviving histological slides, technical cleaning, barcoding and continued recovery. The slide count is kept separate from anatomical pieces.",verified,"IOC laboratory collection page: https://www.ioc.fiocruz.br/lames?num_for=2; Museu da Patologia history: https://museudapatologia.ioc.fiocruz.br/colecoes/csap-historia/; conservation portfolio: https://museudapatologia.ioc.fiocruz.br/colecoes/portfolio-csap/"
src_fiocruz_cfa_2026,2026,primary,"Instituto Oswaldo Cruz / Museu da Patologia","Coleção de Febre Amarela (CFA)","Instituto Oswaldo Cruz / Museu da Patologia, Coleção de Febre Amarela (CFA), current online collection record (2026).",institutional collection record,Portuguese,"Brazil; yellow fever; Rockefeller Foundation; histopathology; glass slides; paraffin blocks; diagnosis; conservation","A case-linked pathology collection generated by the yellow-fever campaign. The museum describes about 498,000 cases, each structured around preserved liver material, a paraffin block and stained histological section(s) on glass, with associated diagnostic documentation. The collection history records deterioration/loss of some blocks and slides, while the project portfolio documents cleaning, slide boxes, labels, barcodes, digitization and research consultation.",verified,"Museu da Patologia CFA history: https://museudapatologia.ioc.fiocruz.br/colecoes/cfa-historia/; IOC collection overview: https://www.ioc.fiocruz.br/lames?num_for=2; CFA conservation portfolio: https://museudapatologia.ioc.fiocruz.br/colecoes/portfolio-cfa/"
src_fiocruz_cdepat_2026,2026,primary,"Instituto Oswaldo Cruz / Museu da Patologia","Coleção do Departamento de Patologia do IOC (CDEPAT)","Instituto Oswaldo Cruz / Museu da Patologia, Coleção do Departamento de Patologia do IOC (CDEPAT), current online collection record (2026).",institutional collection record,Portuguese,"Brazil; Fiocruz; CDEPAT; histotechnology; pathology; 240000 slides; case linkage; research archive","A research-generated histopathology collection assembled from material produced by the department's Histotechnology Sector since 1984. IOC reports 65,000 paraffin blocks and 240,000 glass slides with stained histological sections, linked by registration numbers to cases, documentation and resulting publications. The slide count is preserved as its own material category rather than merged with blocks, formalin specimens or images.",verified,"IOC laboratory collection page: https://www.ioc.fiocruz.br/lames?num_for=2; CDEPAT history: https://museudapatologia.ioc.fiocruz.br/colecoes/cdepat-historia/"
src_jbrj_xylotheque_slides_2026,2026,primary,"Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","Xiloteca do Herbário RB: coleção de lâminas anatômicas","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro, Xiloteca do Herbário RB, current online collection state (2026).",institutional collection record,Portuguese,"Brazil; Rio de Janeiro; wood anatomy; xylotheque; anatomical slides; numerical register; digitization; exchange","The RB wood collection maintains a separately registered anatomical-slide collection used for wood-anatomy reference and identification. Current official JBRJ pages expose different live count states—26,000, approximately 35,000, and approximately 36,000 slides—so this row deliberately does not normalize them into one exact total. The collection is numerically registered, stored in cabinets, consulted with the wood samples and progressively imaged in JABOT.",verified,"JBRJ Herbário/Xiloteca: https://www.gov.br/jbrj/pt-br/assuntos/colecoes/biologicas/herbario-rb; JBRJ data wiki: https://dadoswiki.jbrj.gov.br/doku.php?id=colecoes%3Axiloteca; RBw data resource: https://ipt.jbrj.gov.br/jbrj/resource?r=jbrj_w&request_locale=pt"
src_usp_spf_laminoteca_2026,2026,primary,"Herbário SPF, Universidade de São Paulo",Laminoteca,"Herbário SPF, Universidade de São Paulo, Laminoteca, current online collection record (2026).",institutional collection record,Portuguese,"Brazil; São Paulo; herbarium; plant anatomy; palynology; histological slides; laminoteca","A dedicated herbarium subcollection of anatomical preparations, explicitly defined as histological or palynological slides used to study plant cells, tissues and pollen. It is admitted as a slide-specific collection record; no numerical total is asserted because the public collection page does not provide a stable slide count.",verified,"Herbário SPF: https://herbariospf.ib.usp.br/o-acervo"
src_fmusp_pathology_slides_2025,2025,primary,"Faculdade de Medicina da Universidade de São Paulo",Acervo científico do Departamento de Patologia: lâminas histológicas,"Faculdade de Medicina da Universidade de São Paulo, “FMUSP recebe investimento de R$ 2,6 mi para digitalização de acervo científico do Departamento de Patologia,” institutional news, 2025.",institutional collection / conservation record,Portuguese,"Brazil; São Paulo; pathology; histological slides; blocoteca; 200000 slides; autopsy archive; digitization","The pathology department's scientific archive includes more than 200,000 histological slides stored in a climate-controlled blocoteca, alongside approximately 277,500 autopsy reports dating from 1921–2000. The project treats the slides as a distinct preservation and digitization class rather than merely illustrations within the autopsy archive.",verified,"FMUSP: https://www3.fm.usp.br/fmusp/noticias/fmusp-recebe-investimento-de-r-26-mi-para-digitalizacao-de-acervo-cientifico-do-departamento-de-patologia"
src_mlp_diptera_preparations_2026,2026,primary,"Museo de La Plata, División Entomología",Sección Diptera: preparados microscópicos,"Museo de La Plata, División Entomología, Sección Diptera, current online collection record (2026).",institutional collection record,Spanish,"Argentina; La Plata; Diptera; entomology; microscopic preparations; 10000 preparations; type material; donations","The Diptera section reports approximately 10,000 microscopic preparations as a separately counted material class, alongside more than 20,000 pinned specimens and more than 16,000 larvae/adults in alcohol. The collection includes material collected by division staff and donations from W. W. Wirth, INPA, Instituto Malbrán and LASBE. Counts for the different preservation forms remain separate.",verified,"Museo de La Plata: https://www.museo.fcnym.unlp.edu.ar/div_entomologia"
src_macn_bapal_2026,2026,primary,"Museo Argentino de Ciencias Naturales Bernardino Rivadavia",Colección Nacional de Paleopalinología (BA Pal),"Museo Argentino de Ciencias Naturales Bernardino Rivadavia, Colección Nacional de Paleopalinología (BA Pal), current online collection record (2026).",institutional collection record,Spanish,"Argentina; Buenos Aires; paleopalynology; microscopic preparations; 6600 preparations; type specimens; collection integration","A national paleopalynology collection begun in 1965 and now reported at more than 6,600 microscopic preparations carrying marine and continental palynomorphs, including more than 200 type specimens. The institutional history also records the incorporation in 2000 of the closed CIRGEO collection with 1,279 preparations and 160 types; that incorporated subset is retained as a historical component rather than added again to the current total.",verified,"MACN Paleontology: https://www.macnconicet.gob.ar/investigacion/paleontologia/; BA Pal collection page: https://www.macnconicet.gob.ar/?p=1616"
src_cecoal_pmp_2026,2026,primary,"CECOAL-CONICET-UNNE","Colección Paleontológica de la UNNE Dr. Rafael Herbst: CTES-PMP","CECOAL-CONICET-UNNE, Colección Paleontológica de la UNNE “Dr. Rafael Herbst,” section CTES-PMP (Preparados micropaleontológicos), current online record (2026).",institutional collection record,Spanish,"Argentina; Corrientes; micropaleontology; preparations; teaching; research; reference collection","The Rafael Herbst repository explicitly separates micropaleontological preparations (CTES-PMP) from paleobotany, paleozoology and ichnology within an approximately 20,000-object paleontological collection. The source supports the existence and function of the preparation section but does not expose a separate CTES-PMP count, so no slide/preparation total is inferred.",verified,"CECOAL-CONICET-UNNE: https://cecoal.conicet.gov.ar/coleccion-paleontologica/"
src_inimec_curioscopio_2026,2026,primary,"INIMEC-CONICET-UNC",Curioscopio,"INIMEC-CONICET-UNC, Curioscopio, current service and teaching-preparation record (2026).",prepared-slide teaching kit,Spanish,"Argentina; Córdoba; permanent preparations; teaching kit; school microscopy; atlas; staining; mounting","A contemporary material teaching system built around permanent preparations of plant, animal, microbial and cultured-cell material for school microscopes. The kit joins physical preparations to an educational atlas and activity guides; the institutional description explicitly sets out fixation, solid embedding, thin sectioning, staining and final permanent mounting. It therefore functions as a preparation-plus-text teaching publication rather than a generic microscopy resource.",verified,"INIMEC-CONICET: https://inimec.conicet.gov.ar/curioscopio/"
src_unam_cnhe_2026,2026,primary,"Instituto de Biología, Universidad Nacional Autónoma de México",Colección Nacional de Helmintos (CNHE),"Instituto de Biología, UNAM, Colección Nacional de Helmintos (CNHE), current online collection record (2026).",institutional collection record,Spanish,"Mexico; UNAM; helminths; permanent mounts; laminillas; wet collection; type specimens; curation","A national helminth repository founded in 1930 whose material structure explicitly includes a collection of permanent preparations (laminillas), a wet collection and exhibition specimens. The page also records more than 517 Mexican-species holotypes and an accompanying database. No permanent-slide total is supplied by the public record, so none is inferred.",verified,"Instituto de Biología UNAM: https://www.ib.unam.mx/ib/colecciones-biologicas/colecciones-zoologicas/; Department page: https://www.ib.unam.mx/ib/unidades-investigacion/departamento-de-zoologia/"
src_unmsm_helminth_slides_2026,2026,primary,"Museo de Historia Natural, Universidad Nacional Mayor de San Marcos","Colección Científica de Helmintos e Invertebrados Relacionados","Museo de Historia Natural, Universidad Nacional Mayor de San Marcos, Colección Científica de Helmintos e Invertebrados Relacionados, current online record (2026).",institutional collection record,Spanish,"Peru; Lima; helminths; permanent-mount slides; alcohol vials; database; parasites; provenance","The collection reports 3,138 accessions deposited either as alcohol-preserved lots or permanent-mount slides and maintains database fields for organism, host, locality, provenance and bibliography. Because the public page gives a combined accession count across vials and permanent mounts, the 3,138 figure is retained as a mixed accession namespace and is not converted into a slide total.",verified,"Museo de Historia Natural UNMSM: https://museohn.unmsm.edu.pe/helmi_coleccion.html"
lit_paiva_mounting_medium_2006,2006,research,"José Geraldo Antunes de Paiva; Suzane Margaret Fank-de-Carvalho; Maurício Pimenta Magalhães; Dalva Graciano-Ribeiro","Verniz vitral incolor 500®: uma alternativa de meio de montagem economicamente viável","José Geraldo Antunes de Paiva, Suzane Margaret Fank-de-Carvalho, Maurício Pimenta Magalhães, and Dalva Graciano-Ribeiro, “Verniz vitral incolor 500®: uma alternativa de meio de montagem economicamente viável,” Acta Botanica Brasilica 20, no. 2 (2006): 257–264.",article,Portuguese,"Brazil; mounting medium; permanent slides; plant anatomy; Canada balsam; Euparal; Entellan; Permount; conservation","A directly slide-centred materials study comparing mounting media for permanent stained plant sections. It evaluates a low-cost Brazilian synthetic varnish against standard media including Canada balsam, Euparal, Entellan and Permount, testing whether permanent slides retain tissue and staining quality.",verified,"SciELO: https://www.scielo.br/j/abb/a/dXwH6PvhK87xbNwsRZQySyq/?lang=pt; DOI: https://doi.org/10.1590/S0102-33062006000200002; UnB repository: https://repositorio.unb.br/handle/10482/15312"
lit_quadros_hair_slides_2006,2006,research,"Juliana Quadros; Emygdio L. de A. Monteiro-Filho","Coleta e preparação de pêlos de mamíferos para identificação em microscopia óptica","Juliana Quadros and Emygdio L. de A. Monteiro-Filho, “Coleta e preparação de pêlos de mamíferos para identificação em microscopia óptica,” Revista Brasileira de Zoologia 23, no. 1 (2006): 274–278.",article,Portuguese,"Brazil; mammal hair; reference collection; glass slides; cuticular impressions; Entellan; glycerin; preparation method","An experimental preparation paper that compares methods for a mammal-hair reference collection. Cuticular impressions are made on glass slides using clear nail varnish; permanent preparations are mounted with Entellan and temporary ones with glycerin. Physical slide construction is part of the tested method rather than an incidental observation stage.",verified,"DOI: https://doi.org/10.1590/S0101-81752006000100022; article metadata/abstract: https://www.mendeley.com/catalogue/67f5fe62-bd24-320d-853d-82c5a2fb09d6/"
lit_bodnar_mlp_paleobotany_2025,2025,research,"Josefina Bodnar; Eduardo Manuel Morel; Eliana Paula Coturel; Patricio Alan Knight; Maricel Centi Ferrei","History of the paleobotanical collections of the Museo de La Plata during the 19th and 20th centuries","Josefina Bodnar, Eduardo Manuel Morel, Eliana Paula Coturel, Patricio Alan Knight, and Maricel Centi Ferrei, “History of the paleobotanical collections of the Museo de La Plata during the 19th and 20th centuries,” Publicación Electrónica de la Asociación Paleontológica Argentina 25, no. 1 (2025): 198–210.",article,English,"Argentina; Museo de La Plata; paleobotany; microscopic preparations; fossil wood; cuticles; pollen; teaching; collection history","A collection-history study in which the microscopic-preparation collection is one of the two central paleobotanical collections. The article reports approximately 1,600 microscope-slide preparations of fossil woods, leaf cuticles and pollen/spores, traces the collection from late-nineteenth/early-twentieth-century Roth material through Frenguelli and Archangelsky, and follows its use in university teaching and postgraduate research.",verified,"Journal: https://peapaleontologica.org.ar/index.php/peapa/article/view/444; DOI: https://doi.org/10.5710/PEAPA.29.05.2024.444; CONICET repository: https://ri.conicet.gov.ar/handle/11336/274145"
