id,year,section,authors,title,citation,type,language,tags,note,verification,links
src_cole_studies_1883,1883,primary,Arthur C. Cole,Studies in Microscopical Science,"Arthur C. Cole, Studies in Microscopical Science, 4 vols. (London: Baillière, Tindall and Cox, 1883, 1884, 1886, 1887).",subscription series,English,Arthur C. Cole; slide series; subscription; mounting; teaching; circulation,"A slide-locked publication in the literal sense: the serial combined illustrated printed studies with physical microscope preparations. Volume 1 comprised 52 weekly parts and an accompanying set of 52 slides; later volumes continued the series. It is a key object-text publication for studying the joint circulation of slides, mounting instruction, and printed description.",verified,"Biodiversity Heritage Library: https://www.biodiversitylibrary.org/browse/titles/s/title?bpg=62&ppg=80&psize=250; Cambridge / Beiermann 2021: https://www.cambridge.org/core/journals/british-journal-for-the-history-of-science/article/method-for-safe-transmission-the-microscope-slides-of-the-american-postal-microscopical-club/1269011CF843B0CC6758A38883ED6ABC"
src_tempere_peragallo_1889,1889,primary,"Jean A. Tempère and Hippolyte Peragallo",Diatomées du Monde Entier: Collection Tempère et Peragallo,"Jean A. Tempère and Hippolyte Peragallo, Diatomées du Monde Entier: Collection Tempère et Peragallo, first edition / 8 supplements (Paris: Imp.-Tribout, 1889–1895), with accompanying numbered microscope slides.",exsiccata / slide series,French,Tempère; Peragallo; diatoms; slide series; France; circulation; exsiccata,"A numbered transnational diatom slide series with accompanying text and provenance tables. Harvard's Terry register explicitly links first-edition serial numbers and localities to the slide collection, making this a direct object-text source rather than a general diatom publication.",verified,"Harvard University Herbaria & Libraries: https://www.huh.harvard.edu/terry-collection-register-samples; Academy of Natural Sciences slide dataset: https://ans-diatoms2.ansp.org/public/show_dataset/52"
lit_nuttall_topping_2002,2002,research,Robert H. Nuttall,Artefacts as evidence: an early collection of slides prepared by C.M. Topping,"Robert H. Nuttall, “Artefacts as evidence: an early collection of slides prepared by C.M. Topping,” Quekett Journal of Microscopy 39 (2002): 409–426.",article,English,C.M. Topping; surviving slides; attribution; early slides; material evidence,"Direct object study of an early surviving Topping slide collection, explicitly treating the artefacts themselves as historical evidence for dating, manufacture, and attribution.",verified,"Topping research bibliography: https://microscopist.net/ToppingCM.html; Quekett Journal archive: https://www.quekett.org/about/journal"
lit_lynk_nuttall_topping_2005,2005,research,"Howard Lynk and Robert H. Nuttall",A note on some newly-identified Topping slides,"Howard Lynk and Robert H. Nuttall, “A note on some newly-identified Topping slides,” Quekett Journal of Microscopy 40 (2005): 61–63.",article,English,C.M. Topping; slide identification; attribution; labels; surviving slides,"Short object-identification note in which physical slide features are used to extend the corpus of preparations attributable to C.M. Topping.",verified,"Topping research bibliography: https://microscopist.net/ToppingCM.html; Quekett Journal archive: https://www.quekett.org/about/journal"
lit_garcia_marin_thesis_2006,2006,research,Virginia García Marín,Las preparaciones histológicas de Santiago Ramón y Cajal (1852-1934): catalogación e investigación,"Virginia García Marín, Las preparaciones histológicas de Santiago Ramón y Cajal (1852–1934): catalogación e investigación (PhD diss., Universidad Complutense de Madrid, 2006).",thesis,Spanish,Cajal; histological slides; cataloguing; surviving slides; Madrid; provenance,"Systematic slide-centred study of Cajal's surviving histological preparations. The project created a database for 4,529 original Cajal preparations and fully catalogued a substantial sample for historical and renewed scientific study.",verified,"Universidad Complutense de Madrid: https://produccioncientifica.ucm.es/documentos/5d1df64529995204f7666a6f"
lit_davidson_topping_2007,2007,research,Brian M. Davidson,Topping slides 1840-50,"Brian M. Davidson, “Topping slides 1840-50,” Quekett Journal of Microscopy 40 (2007): 375–388.",article,English,C.M. Topping; 1840s; papered slides; dating; attribution; surviving slides,"Detailed examination of Topping preparations from the 1840s, using construction, papering, handwriting, and surviving examples to refine chronology and attribution.",verified,"Topping research bibliography: https://microscopist.net/ToppingCM.html; Quekett Journal archive: https://www.quekett.org/about/journal"
lit_garcia_freire_lopez_2007,2007,research,"Virginia García Marín, Miguel Ángel Freire Mallo, and Pablo García López",Las preparaciones histológicas del Museo Cajal: catalogación e investigación,"Virginia García Marín, Miguel Ángel Freire Mallo, and Pablo García López, “Las preparaciones histológicas del Museo Cajal: catalogación e investigación,” RdM. Revista de Museología, no. 38 (2007): 6–16.",article,Spanish,Cajal; histological slides; museum collection; cataloguing; Madrid; surviving slides,"Museum-focused account of the Cajal slide holdings and their cataloguing. The article identifies 4,529 preparations made by Cajal himself alongside preparations by his pupils, making the physical slide collection the central documentary object.",verified,"Dialnet: https://dialnet.unirioja.es/servlet/articulo?codigo=2314319"
lit_davidson_lynk_topping_2010,2010,research,"Brian M. Davidson and Howard Lynk",The papered slides of C.M. Topping,"Brian M. Davidson and Howard Lynk, “The papered slides of C.M. Topping,” Quekett Journal of Microscopy 41 (2010): 311–321.",article,English,C.M. Topping; papered slides; labels; construction; attribution; material culture,"Object-specific study of Topping's paper-covered slides, distinguishing cover-paper patterns and construction practices in order to identify and date surviving preparations.",verified,"Topping research bibliography: https://microscopist.net/ToppingCM.html; Quekett Journal archive: https://www.quekett.org/about/journal"
lit_rippa_bonati_pacini_2012,2012,research,Maurizio Rippa Bonati,Two slides signed by Filippo Pacini and preserved at the old section of the “Vincenzo Pinali” Medical Library of Padua University,"Maurizio Rippa Bonati, “Two slides signed by Filippo Pacini and preserved at the old section of the ‘Vincenzo Pinali’ Medical Library of Padua University,” Italian Journal of Anatomy and Embryology 117, no. 2 Supplement (2012): 162.",conference abstract,English,Filippo Pacini; signed slides; Padua; provenance; labels; surviving slides,"Two-object provenance study of signed Pacini slides dated 1864 and 1865. The labels preserve preparation titles, dates, interpretive instructions, and specimen-source information; the paper also reconstructs how the slides entered and survived in the library.",verified,"Italian Journal of Anatomy and Embryology / DOI: https://doi.org/10.36253/ijae-4348; Journal issue: https://oajournals.fupress.net/index.php/ijae/issue/view/117"
lit_lynk_topping_2018,2018,research,Howard Lynk,The Slides of C. M. Topping – Another Look,"Howard Lynk, “The Slides of C. M. Topping – Another Look,” Quekett Journal of Microscopy 43, no. 3 (2018): 181–194.",article,English,C.M. Topping; surviving slides; papered slides; retail; Amadio; attribution,"Reassessment of Topping's surviving production using physical slide construction, paper patterns, handwriting, and retailer evidence. The Quekett supplement also reproduces the 1858 and 1864 Amadio catalogues used to connect numbered retail lists with surviving Topping preparations.",verified,"Quekett supplement: https://www.quekett.org/about/journal/qjm-supplements; Topping research page: https://microscopist.net/ToppingCM.html"
