id,year,section,authors,title,citation,type,language,tags,note,verification,links
src_bourgogne_1862,1862,primary,Joseph Bourgogne,Prix Courant des Préparations Microscopiques,"Joseph Bourgogne, Prix Courant des Préparations Microscopiques (Paris, 1862).",trade catalogue,French,"France; slide catalogue; commercial mounter; trade; Bourgogne; slide sizes; pricing","A catalogue made specifically for Bourgogne's mounted microscope preparations. Contemporary slides and later analysis show differentiated quality grades and multiple slide formats; this is direct evidence for the French commercial slide trade.",verified,"Microscopy-UK / catalogue history: https://www.microscopy-uk.org.uk/mag/artjan10/bs-bourgogne.html"
src_moller_1868,1868,primary,J. D. Möller,Preis-Verzeichniss Mikroskopischer Präparate: Utensilien und Materialien zur Anfertigung derselben,"J. D. Möller, Preis-Verzeichniss Mikroskopischer Präparate: Utensilien und Materialien zur Anfertigung derselben (Berlin, 1868), 31 pp.",trade catalogue,German,"Germany; slide catalogue; diatoms; mounting materials; trade; Möller; permanent preparations","A dedicated price list for microscopic preparations, tools, and materials for making them. The Smithsonian catalogue identifies the 31-page 1868 trade catalogue as microscopic-preparation material rather than a general microscope catalogue.",verified,"Smithsonian Libraries: https://www.sil.si.edu/DigitalCollections/trade-literature/scientific-instruments/CF/SIsingle-record-subject.cfm?sub_01=Microscopy"
src_norman_1872,1872,primary,John Thomas Norman,"A classified list of first-class microscopic objects, with many unique, rare & interesting specimens","John Thomas Norman, A Classified List of First-Class Microscopic Objects, with Many Unique, Rare & Interesting Specimens (1872).",trade catalogue,English,"Britain; slide catalogue; commercial mounter; trade; Norman; mounted objects","Norman's only known catalogue listed 2,584 mounted objects for sale. St Andrews uses the surviving slide collection and catalogue together to document his London mounting business and supply relationships.",verified,"University of St Andrews: https://collections.st-andrews.ac.uk/group/john-thomas-norman-zoological-microscope-slides/2001954"
src_thum_herstellung_1880,1880,primary,Eduard Thum,Die Herstellung von Diatomeenpräparaten,"Eduard Thum, “Die Herstellung von Diatomeenpräparaten,” Isis 5 (1880): 104.",article,German,"Germany; diatom slides; mounting technique; Thum; slide making; arranged slides","A slide-maker's own published account of producing diatom preparations. Thum ran a professional mounting business and is documented as publishing this slide-making paper in 1880.",verified,"Microscopist.net / Thum bibliography: https://www.microscopist.net/ThumE.html"
src_thum_sammeln_1880,1880,primary,Eduard Thum,Ueber das Sammeln und Präpariren der Diatomeen,"Eduard Thum, “Ueber das Sammeln und Präpariren der Diatomeen,” Isis 5 (1880): 319–320.",article,German,"Germany; diatom slides; collecting; preparation; Thum; slide making","A second 1880 paper by the professional Leipzig mounter, explicitly connecting collecting diatoms to preparing them as microscope mounts.",verified,"Microscopist.net / Thum bibliography: https://www.microscopist.net/ThumE.html"
src_wheeler_1880,1880,primary,Edmund Wheeler,"A Classified List of First-Class Microscopic Objects, with many New, Rare and Interesting Specimens","Edmund Wheeler, A Classified List of First-Class Microscopic Objects, with Many New, Rare and Interesting Specimens, 8th ed. (1880), 32 pp.",trade catalogue,English,"Britain; slide catalogue; commercial mounter; trade; Wheeler; prices","The Whipple Museum identifies this as a priced 32-page list of microscopic objects manufactured by Edmund Wheeler at 48 Tollington Road, Holloway.",verified,"Whipple Museum: https://collections.whipplemuseum.cam.ac.uk/documents/27022/"
src_watson_1885,1885,primary,W. Watson & Sons,"A classified list of first-class microscopic objects affording instructive illustrations in anatomy, physiology, botany, entomology, geology & mineralogy","W. Watson & Sons, A Classified List of First-Class Microscopic Objects Affording Instructive Illustrations in Anatomy, Physiology, Botany, Entomology, Geology & Mineralogy (W. Watson & Sons, 1885), 39 pp.",trade catalogue,English,"Britain; slide catalogue; commercial preparations; trade; Watson; teaching","A stand-alone 39-page catalogue of prepared microscopic objects sold by W. Watson & Sons, useful for reconstructing commercial subject categories and the teaching market for slides.",verified,"Open Library: https://openlibrary.org/works/OL44931771W/A_classified_list_of_first-class_microscopic_objects_affording_instructive_illustrations_in_anatomy_"
src_caballero_1897,1897,primary,Ernesto Caballero Bellido,Técnica de las preparaciones microscópicas sistemáticas,"Ernesto Caballero Bellido, Técnica de las preparaciones microscópicas sistemáticas (Madrid: Establecimiento Tipográfico de Fortanet, 1897).",offprint,Spanish,"Spain; diatom slides; systematic preparations; arranged slides; mounting technique; Caballero Bellido","A Spanish publication devoted to Caballero Bellido's technique for systematic microscopic preparations. The IGME library catalogue independently records the 1897 Madrid edition; it directly complements the surviving Caballero diatom-slide collection.",verified,"IGME Library: https://info.igme.es/biblio/r.asp?IdAutor=16606"
lit_girodet_tempere_1999,1999,research,Pierre Girodet,"Famous mounters - Tempère, father and son","Pierre Girodet, “Famous mounters - Tempère, father and son,” Quekett Journal of Microscopy 38 (1999): 357–363.",article,English,"France; Tempère; mounters; diatom slides; trade; catalogues; circulation","A maker-centred history of Jean and Gaston Tempère grounded in their mounted slides, catalogues, advertisements, and international distribution of diatom preparations.",verified,"Microscopist.net / Tempère references: https://www.microscopist.net/tempere.html"
lit_girodet_france_2000,2000,research,Pierre Girodet,Mounters collectors and sellers of microscopical mounts in France in the 19th and 20th centuries [1] A-L,"Pierre Girodet, “Mounters, collectors and sellers of microscopical mounts in France in the 19th and 20th centuries [1] A–L,” Quekett Journal of Microscopy 38 (2000): 573–592.",article,English,"France; mounters; collectors; sellers; slide trade; provenance; biographical reference","A directly slide-centred reference to French mounters, collectors, and sellers, valuable for maker identification, addresses, trade relationships, and provenance research beyond Britain.",verified,"Microscopy-UK / Bourgogne references: https://www.microscopy-uk.org.uk/mag/artjan10/bs-bourgogne.html"
