id,year,section,authors,title,citation,type,language,tags,note,verification,links
src_kaiser_ad_1877,1877,primary,Eduard Kaiser,"Advertisement from Dr. Eduard Kaiser's Institut für Mikroskopie","Eduard Kaiser, advertisement from Dr. Eduard Kaiser's Institut für Mikroskopie, Zeitschrift für Mikrobiologie 1 (1877).",advertisement,German,"Germany; Berlin; Eduard Kaiser; commercial preparations; slide trade; surviving slides; institute","A full-page advertisement from the first volume of Kaiser's Zeitschrift für Mikrobiologie lists mounted specimens available from his newly established Institut für Mikroskopie. Surviving slides bearing the original Friedenstrasse address independently tie the advertised business to physical preparations, making this a strong commerce-to-object bridge.",verified,"Reproduction and source reconstruction: https://microscopist.net/KaiserE.html"
src_moller_price_1877,1877,primary,Johann Diedrich Möller,"Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben","Johann Diedrich Möller, Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben (Berlin: G. W. F. Müller, 1877), 36 pp.",trade catalogue,German,"Germany; J.D. Möller; diatoms; slide trade; price list; mounting materials; commercial preparations","A later, expanded edition of Möller's dedicated slide-and-materials price catalogue. It is kept separately from the already-listed 1868 edition because the catalogue was an evolving commercial instrument and the 1877 issue documents a later state of the product range.",verified,"Phytotaxa bibliography: https://www.biotaxa.org/Phytotaxa/article/view/phytotaxa.629.1.4"
src_klonne_muller_ad_1879,1879,primary,"J. Klönne and G. Müller","Mikroskopische (Duncker'sche) Praeparate","J. Klönne and G. Müller, “Mikroskopische (Duncker'sche) Praeparate,” advertisement in Hermann Hager, Das Mikroskop und seine Anwendung, 6th ed. (Berlin: Julius Springer, 1879), publisher advertisements at end of volume.",advertisement,German,"Germany; Berlin; Klönne; Müller; Duncker; commercial preparations; price list; slide trade","A direct commercial advertisement for prepared microscope slides from Klönne & Müller's Institut für Mikroskopie, Berlin S., Prinzenstr. 56. It explicitly advertises 'Duncker'sche' microscopic preparations together with microscopes, utensils and materials and offers a price list gratis and post-free.",verified,"Project Gutenberg 1879 edition: https://www.gutenberg.org/ebooks/48450.html.images"
src_bachmann_catalogue_1880,1880,primary,Otto Bachmann,"Verzeichniss der von Otto Bachmann's Laboratorium für Mikroskopie in Landsberg am Lech (Bayern) zu beziehenden Mikroskopischen Präparate","Otto Bachmann, Verzeichniss der von Otto Bachmann's Laboratorium für Mikroskopie in Landsberg am Lech (Bayern) zu beziehenden Mikroskopischen Präparate (Kaufbeuren: Buchdruckerei von J. B. Dorn, 1880).",trade catalogue,German,"Germany; Bavaria; Otto Bachmann; teaching; commercial preparations; slide formats; pricing; schools","An unusually rich slide-trade catalogue. Bachmann states that most preparations were designed as demonstration material for natural-history teaching in secondary schools; he specifies English-format 76 x 26 mm slides, an alternative Giessen format, labelled mounts, protective cartons, approval shipments and replacement terms, and gives category-specific prices. It directly joins manufacture, school use, standardization, packaging and commerce.",verified,"Reproduced catalogue in Francisco de Arruda Furtado correspondence edition: https://livrozilla.com/doc/494969/-2002---correspond%C3%AAncia-cient%C3%ADfica-de-francisco-de-arruda..."
src_moller_price_1883,1883,primary,Johann Diedrich Möller,"Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben","Johann Diedrich Möller, Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben (Berlin: G. W. F. Müller, 1883), 40 pp.",trade catalogue,German,"Germany; J.D. Möller; diatoms; slide trade; price list; mounting materials; commercial preparations","Another documented edition of Möller's specialist catalogue, now forty pages. Retaining dated editions makes it possible to reconstruct changes in the commercial preparation programme rather than treating the 1868 catalogue as a timeless list.",verified,"Phytotaxa bibliography: https://www.biotaxa.org/Phytotaxa/article/view/phytotaxa.629.1.4"
src_klonne_muller_diatom_1885,1885,primary,"J. Klönne and G. Müller","Preis-Verzeichniss Mikroskopischer Präparate von Diatomeen in Einzelpräparaten, Sammelpräparaten, Test-platten, Typenplatten und Salonpräparaten sowie von Foraminiferen, Polycistinen und Spongiolithen","J. Klönne and G. Müller, Preis-Verzeichniss Mikroskopischer Präparate von Diatomeen in Einzelpräparaten, Sammelpräparaten, Test-platten, Typenplatten und Salonpräparaten sowie von Foraminiferen, Polycistinen und Spongiolithen (Berlin: Institut für Herstellung achromatischer Mikroscope und mikroskopischer Präparate, 1885), 32 pp.",trade catalogue,German,"Germany; Berlin; Klönne; Müller; diatoms; test plates; type plates; arranged slides; foraminifera; radiolaria; trade","A highly slide-specific Berlin catalogue that differentiates single mounts, collective mounts, test plates, type plates and salon preparations and extends the offer to foraminifera, polycystines and sponge spicules. It is especially useful for reconstructing commercial categories of slide objects, not merely taxa.",verified,"Phytotaxa bibliography: https://www.biotaxa.org/Phytotaxa/article/view/phytotaxa.589.3.1; 1879 firm advertisement: https://www.gutenberg.org/ebooks/48450.html.images"
src_klein_dauerpraeparate_i_1888,1888,primary,Ludwig Klein,Beiträge zur Technik mikroskopischer Dauerpräparate von Süsswasseralgen,"Ludwig Klein, “Beiträge zur Technik mikroskopischer Dauerpräparate von Süsswasseralgen,” Hedwigia 27 (1888): 114–120.",article,German,"Germany; freshwater algae; permanent slides; mounting technique; preparation; botany","A dedicated technical paper on making permanent freshwater-algae preparations. BHL indexes the article as a discrete contribution in Hedwigia, and library catalogues also preserve it as a six-page offprint. It belongs because the production of durable slide preparations is the paper's explicit subject.",verified,"Biodiversity Heritage Library: https://www.biodiversitylibrary.org/page/482385; KIT catalogue: https://katalog.bibliothek.kit.edu/bib/969364"
src_klein_dauerpraeparate_ii_1888,1888,primary,Ludwig Klein,Beiträge zur Technik mikroskopischer Dauerpräparate von Süsswasseralgen II,"Ludwig Klein, “Beiträge zur Technik mikroskopischer Dauerpräparate von Süsswasseralgen II,” Zeitschrift für wissenschaftliche Mikroskopie und für mikroskopische Technik 5 (1888): 456–464.",article,German,"Germany; freshwater algae; permanent slides; mounting technique; preparation; marking; selection","Continuation of Klein's Hedwigia paper, extending the practical method for permanent algal preparations. Contemporary bibliographic reporting identifies it as a continuation and notes the use of Winkel's marking apparatus and methods for selecting individual forms from mixed material.",verified,"Contemporary bibliographic reference preserved in later technical literature: https://eurekamag.com/research/022/529/022529529.php"
src_moller_price_1889,1889,primary,Johann Diedrich Möller,"Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben","Johann Diedrich Möller, Preis-Verzeichniss mikroskopischer Präparate, Utensilien und Materialien zur Anfertigung derselben (Berlin: G. W. F. Müller, 1889), 40 pp.",trade catalogue,German,"Germany; J.D. Möller; diatoms; slide trade; price list; mounting materials; commercial preparations","A late-1880s state of the Möller commercial catalogue, independently cited in recent diatom scholarship. It provides a dated point between the 1883 list and the 1890s atlas/index and 1897 price list.",verified,"Plant Ecology and Evolution bibliography: https://www.researchgate.net/publication/382529104_The_relationships_of_Eunotogramma_frauenfeldii_Bacillariophyta_I_An_account_of_its_structure_and_description_of_the_new_genus_Moralesonia"
src_moller_lichtdrucktafeln_1891,1891,primary,Johann Diedrich Möller,"Lichtdrucktafeln hervorragend schöner und vollständiger Möller'scher Diatomaceen-Präparate","Johann Diedrich Möller, Lichtdrucktafeln hervorragend schöner und vollständiger Möller'scher Diatomaceen-Präparate (Wedel in Holstein: Selbstverlag des Herausgebers, 1891), 59 leaves of plates.",plate atlas,German,"Germany; J.D. Möller; diatoms; arranged slides; phototype plates; object-text; self-publishing","A plate publication built directly around Möller's physical diatom preparations. The fifty-nine leaves reproduce the organized slide preparations and were issued with a separate 1892 species index, making this one of the clearest German object-to-publication systems in the bibliography.",verified,"CiNii Books: https://ci.nii.ac.jp/ncid/BB07941267; Deutsche Biographie: https://www.deutsche-biographie.de/sfz63971.html"
